Closed EPS                                                  Jaccard Similarity                                          
[39, 65, 85, 84, 97, 92]  [39, 69, 65, 85, 84, 97, 92]      0.905                                                       
[39, 69, 73, 61, 65, 85, 84, 97, 92]  [39, 47, 69, 73, 61, 65, 85, 84, 97, 92]0.903                                                       
[39, 47, 69, 73, 61, 65, 85, 84, 97, 92]  [39, 47, 69, 73, 65, 85, 84, 97, 92]0.903                                                       
[47, 77, 61, 65, 85, 84, 97, 92, 69, 73]  [47, 77, 65, 85, 84, 97, 92, 69, 73]0.9                                                         
[39, 77, 65, 85, 84, 97, 92, 69, 73]  [39, 77, 61, 65, 85, 84, 97, 92, 69, 73]0.9                                                         
[39, 73, 61, 65, 85, 84, 97, 92]  [39, 47, 73, 61, 65, 85, 84, 97, 92]0.897                                                       
[39, 47, 69, 73, 61, 85, 84, 97, 92]  [39, 47, 69, 73, 85, 84, 97, 92]0.897                                                       
[39, 47, 69, 73, 61, 85, 84, 97, 92]  [39, 69, 73, 61, 85, 84, 97, 92]0.897                                                       
[39, 47, 73, 65, 85, 84, 97, 92]  [39, 47, 73, 61, 65, 85, 84, 97, 92]0.897                                                       
[39, 69, 73, 65, 85, 84, 97, 92]  [39, 47, 69, 73, 65, 85, 84, 97, 92]0.893                                                       
[77, 65, 85, 84, 97, 92, 73, 69]  [77, 61, 65, 85, 84, 97, 92, 73, 69]0.893                                                       
[47, 69, 73, 65, 85, 84, 97, 92]  [47, 69, 73, 61, 65, 85, 84, 97, 92]0.893                                                       
[21, 73, 61, 65, 85, 84, 97, 92]  [21, 69, 73, 61, 65, 85, 84, 97, 92]0.893                                                       
[39, 77, 85, 84, 97, 92, 69, 73]  [39, 77, 61, 85, 84, 97, 92, 69, 73]0.893                                                       
[39, 69, 73, 61, 65, 85, 84, 97, 92]  [39, 69, 73, 65, 85, 84, 97, 92]0.893                                                       
[47, 73, 61, 65, 85, 84, 97, 92]  [47, 69, 73, 61, 65, 85, 84, 97, 92]0.893                                                       
[47, 77, 61, 85, 84, 97, 92, 69, 73]  [47, 77, 85, 84, 97, 92, 69, 73]0.893                                                       
[39, 47, 69, 61, 65, 85, 84, 97, 92]  [39, 69, 61, 65, 85, 84, 97, 92]0.889                                                       
[39, 47, 69, 65, 85, 84, 97, 92]  [39, 47, 69, 61, 65, 85, 84, 97, 92]0.889                                                       
[39, 47, 73, 61, 85, 84, 97, 92]  [39, 73, 61, 85, 84, 97, 92]0.889                                                       
[39, 73, 61, 65, 85, 84, 97, 92]  [39, 73, 65, 85, 84, 97, 92]0.885                                                       
[39, 69, 73, 85, 84, 97, 92]  [39, 47, 69, 73, 85, 84, 97, 92]0.885                                                       
[39, 69, 73, 85, 84, 97, 92]  [39, 69, 73, 61, 85, 84, 97, 92]0.885                                                       
[21, 73, 61, 85, 84, 97, 92]  [21, 69, 73, 61, 85, 84, 97, 92]0.885                                                       
[50, 73, 65, 85, 84, 97, 92]  [50, 73, 61, 65, 85, 84, 97, 92]0.885                                                       
[39, 47, 73, 85, 84, 97, 92]  [39, 47, 69, 73, 85, 84, 97, 92]0.885                                                       
[69, 73, 61, 65, 85, 84, 97, 92]  [69, 73, 65, 85, 84, 97, 92]0.885                                                       
[47, 69, 73, 61, 85, 84, 97, 92]  [47, 69, 73, 85, 84, 97, 92]0.885                                                       
[77, 61, 85, 84, 97, 92, 73, 69]  [77, 85, 84, 97, 92, 73, 69]0.885                                                       
[39, 47, 73, 65, 85, 84, 97, 92]  [39, 47, 73, 85, 84, 97, 92]0.885                                                       
[21, 73, 65, 85, 84, 97, 92]  [21, 69, 73, 65, 85, 84, 97, 92]0.885                                                       
[39, 47, 73, 65, 85, 84, 97, 92]  [39, 73, 65, 85, 84, 97, 92]0.885                                                       
[47, 69, 73, 61, 85, 84, 97, 92]  [47, 73, 61, 85, 84, 97, 92]0.885                                                       
[39, 47, 65, 85, 84, 97, 92]  [39, 47, 61, 65, 85, 84, 97, 92]0.88                                                        
[39, 61, 65, 85, 84, 97, 92]  [39, 47, 61, 65, 85, 84, 97, 92]0.88                                                        
[39, 47, 69, 61, 85, 84, 97, 92]  [39, 69, 61, 85, 84, 97, 92]0.88                                                        
[47, 73, 61, 65, 85, 84, 97, 92]  [47, 73, 65, 85, 84, 97, 92]0.88                                                        
[47, 69, 73, 65, 85, 84, 97, 92]  [47, 73, 65, 85, 84, 97, 92]0.88                                                        
[39, 47, 69, 85, 84, 97, 92]  [39, 47, 69, 61, 85, 84, 97, 92]0.88                                                        
[47, 69, 65, 85, 84, 97, 92]  [47, 69, 61, 65, 85, 84, 97, 92]0.875                                                       
[47, 61, 65, 85, 84, 97, 92]  [47, 69, 61, 65, 85, 84, 97, 92]0.875                                                       
[39, 69, 65, 85, 84, 97, 92]  [39, 69, 61, 65, 85, 84, 97, 92]0.875                                                       
[47, 77, 61, 65, 85, 84, 97, 92, 69, 73]  [21, 77, 61, 65, 85, 84, 97, 92, 69, 73]0.875                                                       
[39, 77, 61, 65, 85, 84, 97, 92, 69, 73]  [21, 77, 61, 65, 85, 84, 97, 92, 69, 73]0.875                                                       
[39, 47, 69, 65, 85, 84, 97, 92]  [39, 69, 65, 85, 84, 97, 92]0.875                                                       
[21, 61, 65, 85, 84, 97, 92]  [21, 69, 61, 65, 85, 84, 97, 92]0.875                                                       
[47, 77, 61, 65, 85, 84, 97, 92, 69, 73]  [39, 77, 61, 65, 85, 84, 97, 92, 69, 73]0.875                                                       
[39, 47, 73, 61, 85, 84, 97, 92]  [39, 47, 69, 73, 61, 65, 85, 84, 97, 92]0.871                                                       
[39, 47, 69, 73, 61, 65, 85, 84, 97, 92]  [39, 47, 69, 61, 65, 85, 84, 97, 92]0.871                                                       
[39, 47, 69, 73, 61, 85, 84, 97, 92]  [39, 47, 73, 61, 65, 85, 84, 97, 92]0.871                                                       
[69, 73, 85, 84, 97, 92]  [69, 73, 65, 85, 84, 97, 92]      0.87                                                        
