Closed Pattern                          Minimal Generator                       Support Count (%)   
{69 85 84 97 92 }                        {69 }                                  96.32               
{39 47 69 73 65 85 84 97 92 }            {39 47 69 73 65 }                      60.94               
{77 61 65 85 84 97 92 73 69 }            {77 61 65 }                            84.49               
{65 85 84 97 92 }                        {65 }                                  99.14               
{39 47 69 61 65 85 84 97 92 }            {39 47 69 61 65 }                      61.08               
{39 73 61 85 84 97 92 }                  {39 73 61 }                            75.78               
{39 69 61 65 85 84 97 92 }               {39 69 61 65 }                         74.08               
{47 73 65 85 84 97 92 }                  {47 73 65 }                            79.58               
{61 85 84 97 92 }                        {61 }                                  98.88               
{47 69 61 65 85 84 97 92 }               {47 69 61 65 }                         77.82               
